leaf.length,leaf.width,flower.length,flower.width,k3,k3_scikit,k5,k5_scikit,k7,k7_scikit
4.4,2.9,1.4,0.2,Arctica,Arctica,Arctica,Arctica,Arctica,Arctica
4.6,3.1,1.5,0.2,Arctica,Arctica,Arctica,Arctica,Arctica,Arctica
4.6,3.4,1.4,0.3,Arctica,Arctica,Arctica,Arctica,Arctica,Arctica
4.7,3.2,1.3,0.2,Arctica,Arctica,Arctica,Arctica,Arctica,Arctica
4.9,3.0,1.4,0.2,Arctica,Arctica,Arctica,Arctica,Arctica,Arctica
4.9,3.1,1.5,0.1,Arctica,Arctica,Arctica,Arctica,Arctica,Arctica
4.9,2.4,3.3,1.0,Harlequin,Harlequin,Harlequin,Harlequin,Harlequin,Harlequin
4.9,2.5,4.5,1.7,Harlequin,Harlequin,Harlequin,Harlequin,Harlequin,Harlequin
5.0,3.6,1.4,0.2,Arctica,Arctica,Arctica,Arctica,Arctica,Arctica
5.0,3.4,1.5,0.2,Arctica,Arctica,Arctica,Arctica,Arctica,Arctica
5.1,3.5,1.4,0.2,Arctica,Arctica,Arctica,Arctica,Arctica,Arctica
5.2,2.7,3.9,1.4,Harlequin,Harlequin,Harlequin,Harlequin,Harlequin,Harlequin
5.4,3.9,1.7,0.4,Arctica,Arctica,Arctica,Arctica,Arctica,Arctica
5.5,2.3,4.0,1.3,Harlequin,Harlequin,Harlequin,Harlequin,Harlequin,Harlequin
5.7,2.8,4.5,1.3,Harlequin,Harlequin,Harlequin,Harlequin,Harlequin,Harlequin
5.8,2.7,5.1,1.9,Carolinian,Carolinian,Carolinian,Carolinian,Carolinian,Carolinian
6.3,3.3,4.7,1.6,Harlequin,Harlequin,Harlequin,Harlequin,Harlequin,Harlequin
6.3,3.3,6.0,2.5,Carolinian,Carolinian,Carolinian,Carolinian,Carolinian,Carolinian
6.3,2.9,5.6,1.8,Carolinian,Carolinian,Carolinian,Carolinian,Carolinian,Carolinian
6.4,3.2,4.5,1.5,Harlequin,Harlequin,Harlequin,Harlequin,Harlequin,Harlequin
6.5,2.8,4.6,1.5,Harlequin,Harlequin,Harlequin,Harlequin,Harlequin,Harlequin
6.5,3.0,5.8,2.2,Carolinian,Carolinian,Carolinian,Carolinian,Carolinian,Carolinian
6.6,2.9,4.6,1.3,Harlequin,Harlequin,Harlequin,Harlequin,Harlequin,Harlequin
6.7,2.5,5.8,1.8,Carolinian,Carolinian,Carolinian,Carolinian,Carolinian,Carolinian
6.9,3.1,4.9,1.5,Harlequin,Harlequin,Harlequin,Harlequin,Harlequin,Harlequin
7.0,3.2,4.7,1.4,Harlequin,Harlequin,Harlequin,Harlequin,Harlequin,Harlequin
7.1,3.0,5.9,2.1,Carolinian,Carolinian,Carolinian,Carolinian,Carolinian,Carolinian
7.2,3.6,6.1,2.5,Carolinian,Carolinian,Carolinian,Carolinian,Carolinian,Carolinian
7.3,2.9,6.3,1.8,Carolinian,Carolinian,Carolinian,Carolinian,Carolinian,Carolinian
7.6,3.0,6.6,2.1,Carolinian,Carolinian,Carolinian,Carolinian,Carolinian,Carolinian
